,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
3,14 ,THQH FORTKOCHI,                                      Public                                    ,"                  TALUK HEAD QUARTERS HOSPITAL , l FORTKOCHI,         ERNAKULAM,         KERALA                           ",thqhkochi@gmail.com,9447608857,"                                              M2,M1,M7,S5,S4,S2                                                                                             ",                               -NA-                                                 
4,15 ,General Hospital Ernakulam,                                      Public                                    ,"                  General Hospital Ernakulam, Hospital Road, Pin- 682011,         ERNAKULAM,         KERALA                           ",proghekm@gmail.com,9947646307,"                                              M6,S15,S8,S9,S7,S5,S4,S3,S2,S1,M8,M1,M2,S12,M3,M7,M4,S16,S6,S10,S11                                                                                             ","                               S1,S2,S3,S4,S5,S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,S6,S16,M1,M7,M2,M3,S12,M8                                                 "
5,16 ,"GENERAL HOSPITAL ,MUVATTUPUZHA",                                      Public                                    ,"                  MUVATTUPUZHA ,KMPARCADE ,POST OFFICE JUNCTION,         ERNAKULAM,         KERALA                           ",sunithapskaria@gmail.com,9745170201,"                                              M8,M1,S7,M2,M7,M5,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
6,17 ,"Govt.Medical College,Ernakulam",                                      Public                                    ,"                  HMT Colony.P.O,Kalamassery,         ERNAKULAM,         KERALA                           ",ameerasuneer@gmail.com,9846960817,"                                              S5,S4,S1                                                                                             ","                               S1,S2,S4,S5,S13,S14,S7,S15,M5,M6,S10,S11,S16,M4,M1,M7,M2,S3,S8,S9,S6,M3,S12,M8                                                 "
7,18 ,"Govt.Maharaja's Taluk Hospital,Karuvelippady",                                      Public                                    ,"                  Govt.Maharajas Hospital Karuvelipady,         ERNAKULAM,         KERALA                           ",gmhkaruvelippady@gmail.com,9847574144,"                                              M5,S15,S7,S5,S3,S2,S1                                                                                             ","                               S1,S2,S3,S5,S15,S16,M1,M7,M2,M5                                                 "
8,19 ,TH ANGAMALY,                                      Public                                    ,"                  NEAR KSRTC BUS STATION,         ERNAKULAM,         KERALA                           ",chcangamaly@gmail.com,9747211514,"                                              M2,S4                                                                                             ","                               M1,M7,S1,S2                                                 "
9,20 ,THQH KOTHAMANGALAM (CHC KOTHAMANGALAM),                                      Public                                    ,"                  THQH KOTHAMANGALM,         ERNAKULAM,         KERALA                           ",prothqhkothamangalam@gmail.com,9446543553,                                              -NA-                                                                                             ,"                               S1,S2,S3,S4,S5,M1,M7                                                 "
0,21 ,Thqh n paravur,                                      Public                                    ,"                  Taluk Head Quarters Hospital,North Paravur,Ernakulam,Kerala,         ERNAKULAM,         KERALA                           ",thqhnparur@gmail.com,9037891892,"                                              M2,M1,M7,S5,S4,S3,S2                                                                                             ","                               S16,S1,M1                                                 "
1,22 ,"Taluk Head Quarters Hospital, Perumbavoor",                                      Public                                    ,"                  Taluk Head Quarters Hospital Perumbavoor, Opp. Union Bank, A.M. Road Perumbavoor,         ERNAKULAM,         KERALA                           ",rsbyperumbavoor@gmail.com,9961967113,"                                              M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,S5,S16,M1,M7,M2                                                 "
2,23 ,Taluk Hospital Piravom,                                      Public                                    ,"                  Taluk Hospital Piravom,piravom P O ,Ernakulam,         ERNAKULAM,         KERALA                           ",sjelanthat@gmail.com,9447267365,"                                              M2,M1,M7,S3,S2                                                                                             ",                               -NA-                                                 
3,24 ,THQH Tripunithura,                                      Public                                    ,"                  Taluk HQ Hospital,Thripunithura,         ERNAKULAM,         KERALA                           ",prothqhtripunithura@gmail.com,9446607792,                                              -NA-                                                                                             ,"                               S2,S4,S5,M1,M7,M2,S7                                                 "
4,25 ,"W&C Hospital, mattanchery",                                      Public                                    ,"                  Women and Children Hospital, Mattancherry,         ERNAKULAM,         KERALA                           ",women.childrenhospital@gmail.com,9387366096,                                              -NA-                                                                                             ,"                               S4,M2                                                 "
5,26 ,GOVT: MEDICAL COLLEGE HOSPITAL IDUKKI( DH IDUKKI),                                      Public                                    ,"                  IDUKKI COLONY P.O CHERUTHONY,         IDUKKI,         KERALA                           ","prodhidukki@gmail,com",9048101042,                                              -NA-                                                                                             ,"                               S1,S2,S3,S4,S5,S16,M1,M7,M2,M8                                                 "
6,27 ,Idukki District Co-Operative Hospital,                            Private (For Profit)                                              ,"                  P B No. 32, Thodupuzha,         IDUKKI,         KERALA                           ",secretaryidchospital@gmail.com,9400608921,"                                                                            M8,M1,M3,M7,S16,S8,S9,S5,S4,S1                                                              ","                                                             S1,S2,S3,S4,S5,S16,M1,M7,M2,M8    "
7,28 ,THQH Adimali,                                      Public                                    ,"                  Superintendent,         IDUKKI,         KERALA                           ",rsbythqhadimaly@gmail.com,9496320848,"                                              M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,S5,M5,M1,M7,M2                                                 "
8,29 ,"TALUK HEAD QUARTERS HOSPITAL,NEDUMKANDAM",                                      Public                                    ,"                  TALUK HEAD QUARTERS HOSPITAL,NEDUMKANDAM,         IDUKKI,         KERALA                           ",suptchc@gmail.com,9446226164,"                                              M8,M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ","                               S3,S4,S5,S16,M1,M7,M2,M8,S1,S2                                                 "
9,30 ,THQH Peermade,                                      Public                                    ,"                  Taluk Head Quarters  Hospital ,Peermade,         IDUKKI,         KERALA                           ",propeermedu@gmail.com,9656149684,"                                              M8,M1,M2,M7,S16,S5,S4,S3                                                                                             ",                               -NA-                                                 
0,31 ,"(THQH) District Hospital, Thodupuzha",                                      Public                                    ,"                  District Hospital,         IDUKKI,         KERALA                           ",rsbythqhtdpa@gmail.com,9037964027,                                              -NA-                                                                                             ,"                               S3,M1,M7,S1,S2,S4,S5,M5,S16,M2,M8                                                 "
1,32 ,CHC EDAYARIKKAPUZHA,                                      Public                                    ,"                  CHC EDAYIRIKKAPUZHA,         KOTTAYAM,         KERALA                           ",bac.epuzha@gma8il.com,8086010835,"                                              M1,M7                                                                                             ",                               -NA-                                                 
2,33 ,CHC KUMARAKOM,                                      Public                                    ,"                  CHC KUMARAKOM,         KOTTAYAM,         KERALA                           ",bac.chckumarakom@gmail.com,9747211554,"                                              M2,M1,M7,S4,S2                                                                                             ",                               -NA-                                                 
3,34 ,CHC Sachivothamapuram,                                      Public                                    ,"                  CHC Sachivothamapuram, Sachivothamapuram P.O Kottayam,         KOTTAYAM,         KERALA                           ",bac.karukachal@gmail.com,9747211491,"                                              M1,M7,S3                                                                                             ",                               -NA-                                                 
4,35 ,"CHC, THOTTAKKAD",                                      Public                                    ,"                  CHC, THOTTAKKAD P.O,         KOTTAYAM,         KERALA                           ",chcthottakkadu@gmail.com,9447314971,"                                              M1,M7                                                                                             ",                               -NA-                                                 
5,36 ,General Hospital Changanacherry,                                      Public                                    ,"                  General hospital, changanacherry,         KOTTAYAM,         KERALA                           ",pro.changanachery@gmail.com,9495175454,                                              -NA-                                                                                             ,                               -NA-                                                 
6,37 ,GENERAL HOSPITAL KANJIRAPPALLY,                                      Public                                    ,"                  GENERAL HOSPITALKUNNUMBHAGAM (P O)KANJIRAPPALLYKOTTAYAMPIN-686507,         KOTTAYAM,         KERALA                           ",pro.kanjirapaly@gmail.com,9846053777,                                              -NA-                                                                                             ,"                               S2,S4,S5,M2,S1,M1,M7,S3,M3,M8                                                 "
7,38 ,GENERAL HOSPITAL KOTTAYAM,                                      Public                                    ,"                  OPPOSITE MAMMEN MAPPILA HALL , KOTTAYAM,         KOTTAYAM,         KERALA                           ",districthospitalktm@gmail.com,9605408756,"                                              M8,M1,M2,M7,M5,S5,S4,S3,S2,S1                                                                                             ","                               S10,S11,M3,M1,S7,M2,S8,S15,S6,S14                                                 "
8,39 ,"GENERAL HOSPITAL ,PALA",                                      Public                                    ,"                  GOVT GENERAL HOSPITAL, PALA P.O,         KOTTAYAM,         KERALA                           ",rsbypala@gmail.com,9747451766,"                                              M8,M1,S12,M3,M2,M7,M4,S16,S6,S10,S11,M6,M5,S15,S5,S4,S3,S2,S1                                                                                             ","                               M2,M3,S12,M1,M8,S7,S14,S1,S2,S3,S4,S5,S15,M5,S10,S11,S6,M4,M7                                                 "
9,40 ,Govt. Dental College Kottayam,                                      Public                                    ,"                            KOTTAYAM,         KERALA                  ",,                                      -NA-                  ,                                              S16                                                                                             ,"                               M2,M3,S12,M1,M8,S7,S14,S1,S2,S3,S4,S5,S15,M5,S10,S11,S6,M4,M7                                                 "
0,41 ,"Institute Of Child Health ,Govt.Medical College, Kottayam",                                      Public                                    ,"                  ICH Gandhinagar kottayam,         KOTTAYAM,         KERALA                           ",pro.ichktm@gmail.com,9645838949,                                              -NA-                                                                                             ,"                               M2,M3,S1,S14,M4,M1,M7,S10,S11                                                 "
1,42 ,Lions Charitable Trust eye Hospital Paika,                            Private (For Profit)                                              ,"                  Lions Charitable Trust Eye Hospital, Poovarani PO,,         KOTTAYAM,         KERALA                           ",eyehospitalpaika@gmail.com,9447165802,                                                                            -NA-                                                              ,                                                             S3    
2,43 ,Govt. Medical College Hospital Kottayam,                                      Public                                    ,"                  Govt. Medical College Hospital  Gandhinagar  Kottayam,         KOTTAYAM,         KERALA                           ",pro.mchktm@gmai.com  sumathyanoop@gmail.com,7034725777,"                                              M8,M1,M2,S8,S7,S12,M3,M7,S10,S11,M6,M5,S15,S9,S14,S13,S5,S4,S3,S2,S1                                                                                             ","                               S13,S16,S15,M5,M6,M3,S6                                                 "
3,44 ,PHC Mundankunnu,                                      Public                                    ,"                  PHC Mundankunnu,Manalumkal .P.O ,Kottayam,Kerala,         KOTTAYAM,         KERALA                           ",bacmundankunnu@gmail.com,8943341438,                                              -NA-                                                                                             ,"                               S13,S16,S15,M5,M6,M3,S6                                                 "
4,45 ,THQH PAMPADY,                                      Public                                    ,"                  PAMPADY P O ,PAMPADY,         KOTTAYAM,         KERALA                           ",pro.pampady@gmail.com,9947154947,"                                              M2,M1,M7,S5,S4,S3,S1                                                                                             ","                               S2,S10,S11,S16,M1,M7                                                 "
5,46 ,THQH Vaikom,                                      Public                                    ,"                  Near Boat Jetty Vaikom,         KOTTAYAM,         KERALA                           ",pro.vaikom@gmail.com,9947172366,"                                              M8,M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ","                               S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,S6,M4,M1,M7,M3,S12,M2                                                 "
6,47 ,"Institute Of Maternal And Child Health, Govt. Medical College Kozhikode",                                      Public                                    ,"                  Institute Of Maternal And Child Health, Govt. Medical College Kozhikode,         KOZHIKODE,         KERALA                           ",imchkkdrsby@gmail.com,9746601842,"                                              M3,M2,M4,S14,S4                                                                                             ","                               M2,M3,S1,S4,S14,S7,S8,S9,S10,S11,M4,M1,M7                                                 "
7,48 ,"GOVT.HOSPITAL FOR WOMEN & CHILDREN ,KOTTAPARAMB,",                                      Public                                    ,"                  GOVT HOSPITAL FOR WOMEN AND CHILDREN-,KOZHIKODE,         KOZHIKODE,         KERALA                           ",wckokozhikode1@gmail.com,9946030326,                                              -NA-                                                                                             ,                               -NA-                                                 
8,49 ,TALUK HOSPITAL  NADAPURAM,                                      Public                                    ,"                  TALUK HOSPITAL NADAPURAM.P.ONADAPURAM,         KOZHIKODE,         KERALA                           ",rsbythn@gmail.com,9496343191,                                              -NA-                                                                                             ,"                               S1,S2,S4,S10,S11,S16,M1,M7,M2                                                 "
9,50 ,CHC MUKKAM,                                      Public                                    ,"                  CHC MUKKAM,,         KOZHIKODE,         KERALA                           ",,9447394403,                                              -NA-                                                                                             ,"                               S1,S2,S4,S10,S11,S16,M1,M7,M2                                                 "
0,51 ,chcthalakulathur,                                      Public                                    ,"                            KOZHIKODE,         KERALA                  ",abc@abc.com,9496422243,                                              -NA-                                                                                             ,                               NA                                                 
1,52 ,Government General Hospital Kozhikode,                                      Public                                    ,"                  Govt. General Hospital, Kozhikode Beach,         KOZHIKODE,         KERALA                           ",gghkkd@gmail.com,9447204866,"                                              M1,M2,S8,M3,M7,S16,S6,M6,S5,S4,S3,S2,S1                                                                                             ",                               NA                                                 
2,53 ,INSTITUTE OF CHEST DISEASES  GOVT.MEDICAL COLLEGE KOZHIKODE,                                      Public                                    ,"                  INSTITUTE OF CHEST DISEASESGOVT.MEDICAL COLLEGE(P.O) MEDICAL COLLEGEKOZHIKODE-673008,         KOZHIKODE,         KERALA                           ",lexishyju@gmail.com,9526902742,                                              M1                                                                                             ,"                               M1,S13,M7,S12,S1                                                 "
3,54 ,KMCT MEDICAL COLLEGE HOSPITAL,                            Private (For Profit)                                              ,"                  KMCT MEDICAL COLLEGE HOSPITAL, MANASSERY (PO)MUKKAM (VIA) KOZHIKODE (DT ),         KOZHIKODE,         KERALA                           ",kmctinsurance@gmail.com,9895220077,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S6,S10,S11,S9,S14,S13,S5,S4,S3,S2,S1                                                              ","                                                             M1,S7,M2,S8,M8,S1,S2,S3,S4,S13,S9,S10,S11,S6,S16,M7,S5,M3,S12,S14    "
4,55 ,Medical college kozhikode,                                      Public                                    ,"                  medical college hospital kozhikode,         KOZHIKODE,         KERALA                           ",muhammedrenikv@gmail.com,9048870546,"                                              M8,M1,M2,S8,S7,S12,M7,S16,S6,S10,S11,M6,M5,S15,S9,S13,S5,S3,S2,S1                                                                                             ","                               S16,M1,M7,S1,S2,S3,S5,S13,S7,S8,S9,S15,M5,M6,S10,S11,S6,M2,M3,S12,M8,S4                                                 "
5,56 ,MALABAR MEDICAL COLLEGE & RESEARCH CENTRE,                            Private (For Profit)                                              ,"                  ULLIYERY,MODAKKALLOUR,CALICUT,         KOZHIKODE,         KERALA                           ",insurance@mmchospital.in,7012015720,                                                                            -NA-                                                              ,                                                             -NA-    
6,57 ,"TALUK HEAD QUARTERS HOSPITAL , KOYILANDY",                                      Public                                    ,"                  Govt. THQ Hospital, Koyilandy Koyilandy, Kozhikode,         KOZHIKODE,         KERALA                           ",talukhospitalkoyilandy@gmail.com rsbythqhkoyilandy@gmail.com,9447276170,"                                              M1,M3,M2,M7,S16,S6,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
7,58 ,Taluk Hospital perambra,                                      Public                                    ,"                  Perambra Post,         KOZHIKODE,         KERALA                           ",Soyuze@gmail.com,9846761230,                                              -NA-                                                                                             ,                               -NA-                                                 
8,59 ,"District Government Hospital, Vadakara",                                      Public                                    ,"                            KOZHIKODE,         KERALA                  ",rsbyvadakara@gmail.com,9446267958,"                                              M8,M1,M7,S16,S14,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
9,60 ,GOVT TALUK HOSPITAL THAMARASSERY,                                      Public                                    ,"                  GOVT TALUK HOSPITAL THAMARASSERY ,         KOZHIKODE,         KERALA                           ",,                                      -NA-                  ,"                                              S4,S1                                                                                             ","                               S1,S4,S16,M1,M7,M2,M3,S14,S7                                                 "
0,61 ,Taluk hospital BALUSSERY,                                      Public                                    ,"                  TH BALUSSERY, BALUSSERY MUKKU, BALUSSERY,,         KOZHIKODE,         KERALA                           ",chcbalussery@gmail.com,9447219338,"                                              M2,M1,M7                                                                                             ","                               S1,S2,S3,S4,S5,M5,S16,M1,M7,M2,S12                                                 "
1,62 ,TALUK HOSPITAL KUTTIADY,                                      Public                                    ,"                  taluk hospital kuttiady,         KOZHIKODE,         KERALA                           ",chckuttiady@ymail.com,9495305464,"                                              M1,M7,S16,S5,S4,S3,S1                                                                                             ","                               M1,S7                                                 "
2,63 ,CHCA GALI,                                      Public                                    ,"                  CHC AGALI,         PALAKKAD,         KERALA                           ",chcagali@gmail.com,9961590198,                                              -NA-                                                                                             ,                               -NA-                                                 
3,64 ,Community Health Centre Chalissery,                                      Public                                    ,"                  Community Health Centre Chalissery, Chalissery (po), Palakkad (dist),         PALAKKAD,         KERALA                           ",phcchalissery@gmail.com,9946946122,"                                              M1,M7                                                                                             ",                               -NA-                                                 
4,65 ,CHC KATAMPAZHIPURAM,                                      Public                                    ,"                  KATAMAPZHIPURAM,         PALAKKAD,         KERALA                           ",pronrhmktpm@gmail.com,8943341441,"                                              M1,M7                                                                                             ",                               -NA-                                                 
6,67 ,DHARMAGIRI ST JOSEPH,                            Private (For Profit)                                              ,"                  VALLIYODE ANJUMOORTHY.PO,         PALAKKAD,         KERALA                           ",rsbysjhvalliyode@gmail.com,9747940952,"                                                                            M1,M7,S5,S2,S1                                                              ","                                                             S3,S16,M1,M7,S12,S7,M2,S8,M8,S1,S2,S5,S15,M5    "
7,68 ,Govt Tribal Specialty Hospital,                                      Public                                    ,"                  Kottathara,         PALAKKAD,         KERALA                           ",progtsh2013@gmail.com,9744930920,                                              -NA-                                                                                             ,"                               S2,S3,S4,S1,S5,S14,M5,S16,M1,M7,M2,M3,S7,M8                                                 "
8,69 ,Institute for Communicative and Cognitive Neurosciences (ICCONS),                                      Public                                    ,"                  Institute for Communicative and Cognitve Neurosciences (ICCONS), Kavalappara P.O., Shoranur,         PALAKKAD,         KERALA                           ",icconssrr2@gmail.com,9496957744,"                                              M1,M2,S8,M7,S2,S1                                                                                             ","                               M2,M1,S8,S1,S2,S5,S14                                                 "
9,70 ,kerala medical college hospital,                            Private (For Profit)                                              ,"                  MANGODE, CHERPULASSERY, PALAKKAD,         PALAKKAD,         KERALA                           ",rsby@keralamedicalcollege.com,8594070705,                                                                            -NA-                                                              ,"                                                             S1,S2,S3,S4,S5,M1,M7,M2    "
0,71 ,SANDHYARAM HOSPITAL,                            Private (For Profit)                                              ,"                  Katampazhipuram (po),         PALAKKAD,         KERALA                           ",sandhyaramrsby@gmail.com,9349008240,"                                                                            M1,M7,S7,S14,S13,S5,S1                                                              ",                                                             S4    
1,72 ,"TALUK HEAD QUARTERS HOSPITAL,ALATHUR",                                      Public                                    ,"                            PALAKKAD,         KERALA                  ",pro.thqhalathur@gmail.com,9496804832,"                                              M2,M1,M7,S16,S5,S4,S3,S2                                                                                             ","                               S16,S1,S2                                                 "
2,73 ,TALUK HEAD QUARTERSHOSPITAL CHITTUR,                                      Public                                    ,"                  SUPERINTENDENT TALUK HEAD QUARTERS HOSPITAL,HOSPITAL JUNCTION ,CHITTUR-678101,         PALAKKAD,         KERALA                           ",prothqhchittur@gmail.com,7403666999,"                                              M2,M1,M7,S5,S4,S3,S2,S1                                                                                             ",                               S16                                                 
3,74 ,THQH Mannarkkad,                                      Public                                    ,"                  Taluk Head Quarters Hospital, Mannarkkad, Palakkad, Kerala, PIN 678582,         PALAKKAD,         KERALA                           ",prothqhmkd@gmail.com,9400531152,"                                              M8,M1,M3,M2,M7,S16,S5,S4,S3,S2                                                                                             ","                               S1,S2,S3,S4,S5,S16,M1,M7,M2,M3,M8,S14,S10,S11,S7,M5                                                 "
4,75 ,Taluk Head Quarters Hospital Ottapalam,                                      Public                                    ,"                  Taluk Head Quarters Hospital  Ottapalam  Kerala,         PALAKKAD,         KERALA                           ",rsbythqhottappalam@gmail.com,9544648581,                                              -NA-                                                                                             ,"                               M8,S1,S2,S3,S4,S5,M1,M7,M2,S16,M5                                                 "
5,76 ,Taluk Head Quarters hospital pattambi,                                      Public                                    ,"                  Taluk Head Quarters hospital pattambi  , Palakkad dist kerala,         PALAKKAD,         KERALA                           ",pro.thqhpattambi@gmail.com,9061315322,"                                              M1,M7,S7,S14,S13,S5,S1                                                                                             ","                               S16,S10,S11,S4                                                 "
6,77 ,Women and Children Hospital,                                      Public                                    ,"                  Women and Children Hospital Palakkad,         PALAKKAD,         KERALA                           ",pro.wandcpkd@gmail.com,9846773846,"                                              M3,M2,S4                                                                                             ","                               M1,M7,S1                                                 "
7,78 ,CHC NENMARA,                                      Public                                    ,"                  CHC NENMARA,NENMARA(PO)-678508,         PALAKKAD,         KERALA                           ",chcnenmara@gmail.com,949615448,                                              S1                                                                                             ,"                               M1,M7                                                 "
8,79 ,District Hospital,                                      Public                                    ,"                  District Hospital Kozhencherry Pathanamthitta Dist,         PATHANAMTHITTA,         KERALA                           ",pronrhmdhk@gmail.com,9847225650,                                              -NA-                                                                                             ,                               -NA-                                                 
9,80 ,GH Adoor,                                      Public                                    ,"                  General Hospital Adoor,         PATHANAMTHITTA,         KERALA                           ",proadoor@gmail.com,9746189334,                                              -NA-                                                                                             ,                               -NA-                                                 
0,81 ,GENERAL HOSPITAL PATHANAMTHITTA,                                      Public                                    ,"                  NEAR COLLECTRATE ,PATHANAMTHITTA,         PATHANAMTHITTA,         KERALA                           ",pro.ghpta@gmail.com,9847281253,"                                              M1,M2,S8,S7,S12,M3,M7,S16,M6,M5,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
1,82 ,TALUK HEAD QUARTERS HOSPITAL,                                      Public                                    ,"                  TALUK HEAD QUARTERS HOSPITAL , NEAR ELEPHANT CAGE, KONNI,         PATHANAMTHITTA,         KERALA                           ",prothqhkonni@gmail.com,9497009992,"                                              M2,M1,M7,S5,S4,S2                                                                                             ",                               -NA-                                                 
2,83 ,Thaluk head quarters ranni,                                      Public                                    ,"                  Thaluk head quarters ranni,         PATHANAMTHITTA,         KERALA                           ",rsbyranni2012@gmail.com,9188522982,                                              -NA-                                                                                             ,"                               S4,M1,M7,S2,S3,S5,M2,M8,S1                                                 "
3,84 ,THQH MALLAPPALLY,                                      Public                                    ,"                  THALUK HEAD QUARTERS HOSPITAL,MALLAPPALLY,         PATHANAMTHITTA,         KERALA                           ",thospitalmallappally@gmail.com,7012295014,                                              -NA-                                                                                             ,                               -NA-                                                 
4,85 ,THQH THIRUVALLA,                                      Public                                    ,"                  Thiruvalla,         PATHANAMTHITTA,         KERALA                           ",thqhtvl@gmail.com,9447256653,"                                              M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
5,86 ,District Hospital Mananthavady,                                      Public                                    ,"                            WAYANAD,         KERALA                  ",pro.mananthavady@gmail.com,9747178525,"                                              S14,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,S5,S13,S14,S10,S11,S6,S16,M1,M7,M2,M3,S12,M8,S8,S9,S15,M5,M6,S7                                                 "
