	BENEFIT COVER	DISTRICT	ELIGIBILITY	FEATURES	GOVT TYPE	OBJECTUVE	SCHEME NAME	STATE	Unnamed: 8	Unnamed: 9
5	"Sum Insured:
 One can claim up to Rs. 30000 for various expenses that are covered under the policy.
 Coverage For The Family:
 A typical Indian family of five members can benefit from this plan. The head of the family, spouse and three dependents are covered under the plan. A newborn baby can become an additional beneficiary until the expiry of the policy.
 No Waiting Period:
A waiting period is a time when a policyholder cannot make a claim against certain conditions as specified by the insurance company. One needs to bear the cost of treatment from their own pocket during the waiting period. However, the RSBY does not have any such clause.
Pre-existing Diseases:
As the name suggests, a pre-existing disease is any ailment suffered by the policyholder or the beneficiaries before purchasing the policy. This includes the diseases that the policyholder may not be aware of when purchasing the policy.Usually, in health insurance policies a waiting period of 2 to 4 years is imposed on pre-existing diseases. However, these are covered under RSBY irrespective of the age of a beneficiary from the date of purchase.
Under RSBY, the government has fixed the hospitalization cover limit at Rs. 30,000. The government has also fixed the hospital package rates."	ALL	Beneficiary Criteria: The beneficiary should belong either to a BPL (Below Poverty Line) household; Or Should be workers belonging to unorganized categories such as construction and building workers who are registered under Welfare Boards, Street Vendors, Licensed Porters (railway), Beedi workers, MNREGA workers, Sanitation workers, Domestic workers, Mine workers, Rag pickers, Rickshaw pullers and Taxi/ Auto drivers.                                                                   Age Limit: No age limit.                                                                                                                                                                                                                                                                                                                                                                               Number of family members covered: A family unit of up to 5 members are covered under this scheme.Pre-existing illnesses are also covered without any age limit criterion. 5 family members including self, three dependents, and spouse can be covered.  The registration fee for the recipients is only 30 rupees and the premium is paid by the government to the insurance company.	"Ministry of Labour & Employment, Government of India launched this National Health Insurance Scheme for families who are below the poverty line. The aim is to offer health insurance coverage to BPL families in an economical manner.
  Health Coverage:
 A health covers of up to Rs. 30,000/- is provided per year for up to 5 members of the family on a family floater basis. This also includes pre-existing conditions right from the first day itself.
Biometric Smart Card:
 A biometric Smart Card is provided to the insured person. This contains the applicants fingerprints as well as other details in its chip. The insured person only needs to provide this smart card at the time of the claim to the hospital.
 RSBY is completely paperless and cashless:
All the required documents are submitted to the insurer electronically, making the process completely paperless. Also, the claimant only has to produce the cashless smart card to the hospital. Thus the hassle of paying in cash and waiting for reimbursement later is completely avoided."	CENTRAL		RASHTRIYA SWASTHA BIMA YOJANA(RSBY )	ALL		
5	"Sum Insured:
 One can claim up to Rs. 30000 for various expenses that are covered under the policy.
 Coverage For The Family:
 A typical Indian family of five members can benefit from this plan. The head of the family, spouse and three dependents are covered under the plan. A newborn baby can become an additional beneficiary until the expiry of the policy.
 No Waiting Period:
A waiting period is a time when a policyholder cannot make a claim against certain conditions as specified by the insurance company. One needs to bear the cost of treatment from their own pocket during the waiting period. However, the RSBY does not have any such clause.
Pre-existing Diseases:
As the name suggests, a pre-existing disease is any ailment suffered by the policyholder or the beneficiaries before purchasing the policy. This includes the diseases that the policyholder may not be aware of when purchasing the policy.Usually, in health insurance policies a waiting period of 2 to 4 years is imposed on pre-existing diseases. However, these are covered under RSBY irrespective of the age of a beneficiary from the date of purchase.
Under RSBY, the government has fixed the hospitalization cover limit at Rs. 30,000. The government has also fixed the hospital package rates."	ALL	"Beneficiary Criteria: The beneficiary should belong either to a BPL (Below Poverty Line) household; Or Should be workers belonging to unorganized categories such as construction and building workers who are registered under Welfare Boards, Street Vendors, Licensed Porters (railway), Beedi workers, MNREGA workers, Sanitation workers, Domestic workers, Mine workers, Rag pickers, Rickshaw pullers and Taxi/ Auto drivers.
 Age Limit: No age limit.
 Number of family members covered: A family unit of up to 5 members are covered under this scheme.Pre-existing illnesses are also covered without any age limit criterion. 5 family members including self, three dependents, and spouse can be covered.  The registration fee for the recipients is only 30 rupees and the premium is paid by the government to the insurance company."	"Ministry of Labour & Employment, Government of India launched this National Health Insurance Scheme for families who are below the poverty line. The aim is to offer health insurance coverage to BPL families in an economical manner.
  Health Coverage:
 A health covers of up to Rs. 30,000/- is provided per year for up to 5 members of the family on a family floater basis. This also includes pre-existing conditions right from the first day itself.
Biometric Smart Card:
 A biometric Smart Card is provided to the insured person. This contains the applicants fingerprints as well as other details in its chip. The insured person only needs to provide this smart card at the time of the claim to the hospital.
 RSBY is completely paperless and cashless:
All the required documents are submitted to the insurer electronically, making the process completely paperless. Also, the claimant only has to produce the cashless smart card to the hospital. Thus the hassle of paying in cash and waiting for reimbursement later is completely avoided."	CENTRAL		RASHTRIYA SWASTHA BIMA YOJANA(RSBY )	ALL		
6	"Universal health coverage as assured in this new scheme shall exclude the following categories of residents as they can avail healthcare through other schemes.
 Residents covered under Employees’ State Insurance Scheme
 Residents covered under health assurance or health insurance schemes of their employers
 Residents who have taken private health insurance policies on their own
 Residents covered under Central Government Health Scheme of the Government of India
 Employees of Government of Karnataka till the amendment of the Karnataka Government Servants’ (Medical Attendance) Rules
 Members of Karnataka Legislature till the amendment of the Karnataka Legislature (Members Medical Attendance) Rules 1968."		Eligible Patient:                                                                                                                                                                                                                                                                                                                                                                                     A patient who is a resident of Karnataka State and belongs to “Eligible Household” as defined under the National Food Security Act, 2013;                                                                                                                                                                                             Eligibility Condition:                                                                                                                                                                                                                                                                                                                                                                                     A patient who is a resident of Karnataka State but does not come under the definition of “Eligible Household” as defined under the National Food Security Act, 2013, or does not produce the eligible household card. The treatment cost will be on co-payment basis.                      	"  The objective of the scheme is to extend ‘Universal Health Coverage’ to all residents in Karnataka State. Under this new scheme, primary health care, specified secondary and tertiary health care benefits will be provided.
  The current ongoing health schemes like Vajpayee Arogyashree, Yeshaswini Scheme, Rajiv Arogya Bhagya Scheme, RashtriyaSwasthayaBimaYojana (RSBY) including RSBY for senior citizens, RashtriyaBalaSwasthayaKaryakram (RBSK), MukhyamantriSantwana Harish Scheme, Indira Suraksha Yojane, Cochlear Implant Scheme etc. will all be converged under this new Arogya Karnataka Scheme."	STATE		AROGYA KARNATAKA	KARNATAKA		
6	"Universal health coverage as assured in this new scheme shall exclude the following categories of residents as they can avail healthcare through other schemes.
 Residents covered under Employees’ State Insurance Scheme
 Residents covered under health assurance or health insurance schemes of their employers
 Residents who have taken private health insurance policies on their own
 Residents covered under Central Government Health Scheme of the Government of India
 Employees of Government of Karnataka till the amendment of the Karnataka Government Servants’ (Medical Attendance) Rules
 Members of Karnataka Legislature till the amendment of the Karnataka Legislature (Members Medical Attendance) Rules 1968."		Eligible Patient:                                                                                                                                                                                                                                                                                                                                                                                     A patient who is a resident of Karnataka State and belongs to “Eligible Household” as defined under the National Food Security Act, 2013;                                                                                                                                                                                             Eligibility Condition:                                                                                                                                                                                                                                                                                                                                                                                     A patient who is a resident of Karnataka State but does not come under the definition of “Eligible Household” as defined under the National Food Security Act, 2013, or does not produce the eligible household card. The treatment cost will be on co-payment basis.                      	"  The objective of the scheme is to extend ‘Universal Health Coverage’ to all residents in Karnataka State. Under this new scheme, primary health care, specified secondary and tertiary health care benefits will be provided.
  The current ongoing health schemes like Vajpayee Arogyashree, Yeshaswini Scheme, Rajiv Arogya Bhagya Scheme, RashtriyaSwasthayaBimaYojana (RSBY) including RSBY for senior citizens, RashtriyaBalaSwasthayaKaryakram (RBSK), MukhyamantriSantwana Harish Scheme, Indira Suraksha Yojane, Cochlear Implant Scheme etc. will all be converged under this new Arogya Karnataka Scheme."	STATE		AROGYA KARNATAKA	KARNATAKA		
6	"Universal health coverage as assured in this new scheme shall exclude the following categories of residents as they can avail healthcare through other schemes.
 Residents covered under Employees’ State Insurance Scheme
 Residents covered under health assurance or health insurance schemes of their employers
 Residents who have taken private health insurance policies on their own
 Residents covered under Central Government Health Scheme of the Government of India
 Employees of Government of Karnataka till the amendment of the Karnataka Government Servants’ (Medical Attendance) Rules
 Members of Karnataka Legislature till the amendment of the Karnataka Legislature (Members Medical Attendance) Rules 1968."		"Eligible Patient:
 A patient who is a resident of Karnataka State and belongs to “Eligible Household” as defined under the National Food Security Act, 2013;
Eligibility Condition:
 A patient who is a resident of Karnataka State but does not come under the definition of “Eligible Household” as defined under the National Food Security Act, 2013, or does not produce the eligible household card. The treatment cost will be on co-payment basis.
 "	"  The objective of the scheme is to extend ‘Universal Health Coverage’ to all residents in Karnataka State. Under this new scheme, primary health care, specified secondary and tertiary health care benefits will be provided.
  The current ongoing health schemes like Vajpayee Arogyashree, Yeshaswini Scheme, Rajiv Arogya Bhagya Scheme, RashtriyaSwasthayaBimaYojana (RSBY) including RSBY for senior citizens, RashtriyaBalaSwasthayaKaryakram (RBSK), MukhyamantriSantwana Harish Scheme, Indira Suraksha Yojane, Cochlear Implant Scheme etc. will all be converged under this new Arogya Karnataka Scheme."	STATE		AROGYA KARNATAKA	KARNATAKA		
7	Heart diseases                                                                                                                                                                                                                                                                                                                                                                                         Kidney diseases                                                                                                                                                                                                                                                                                                                                                                                         Cancer                                                                                                                                                                                                                                                                                                                                                                                           Hemophilia                                                                                                                                                                                                                                                                                                                                                                                                 Palliative Care       		" The beneficiary must be a resident of Kerala.
 People belonging to below poverty line and above poverty line sections of the society can apply for this coverage.
 Beneficiaries must provide their Aadhaar card and income certificate while enrolling in this coverage"	"The government has allocated about Rs.250 crore for this scheme in the recent financial year.
Any information regarding this policy can be found in its official website: http://www.karunya.kerala.gov.in/"	STATE		KARUNYA HEALTH SCHEME	KERALA		
7	"Heart diseases
  Kidney diseases
  Cancer 
Hemophilia 
Palliative Care "		" The beneficiary must be a resident of Kerala.
 People belonging to below poverty line and above poverty line sections of the society can apply for this coverage.
 Beneficiaries must provide their Aadhaar card and income certificate while enrolling in this coverage"	"The government has allocated about Rs.250 crore for this scheme in the recent financial year.
Any information regarding this policy can be found in its official website: http://www.karunya.kerala.gov.in/"	STATE		KARUNYA HEALTH SCHEME	KERALA		
7	"Heart diseases
  Kidney diseases
  Cancer 
Hemophilia 
Palliative Care "		" The beneficiary must be a resident of Kerala.
 People belonging to below poverty line and above poverty line sections of the society can apply for this coverage.
 Beneficiaries must provide their Aadhaar card and income certificate while enrolling in this coverage"	"The government has allocated about Rs.250 crore for this scheme in the recent financial year.
Any information regarding this policy can be found in its official website: http://www.karunya.kerala.gov.in/"	STATE		KARUNYA HEALTH SCHEME	KERALA		
8		ALL	"You can avail 1,027 treatments and 38 diagnostic procedures by availing to this scheme.
Hospitals empanelled through this scheme will conduct free medical checkup at least once a month in every district.                                                                                                                                                                                       Eligible Patient:                                                                                                                                                                                                                                                                                                                                                                                     The Eligibility to avail Chief Minister’s Comprehensive Health Insurance Scheme, is as indicated for the resident of tamilnadu by the presence of his/her name in the Family card and whose annual income is less than Rs.72, 000/ per annum.                                                                                                                                                                                                                                                                                                                                                                                 Being eligible:                                                                                                                                                                                                                                                                                                                                                                                     Being eligible for benefits under the scheme, it is sufficient to produce family card and Incomecertificate by the VAO/Revenue authorities along with the selfdeclaration of the head of the concerned family."	"""Family” includes the eligible member, and the members of his or her Family as detailed below:
 (i) Legal spouse of the eligible person
 (ii) Children of the eligible person
(iii) Dependent parents of the eligible person Provided that if any person, in any of the categories at (i), (ii) or (iii) above, finds place in the family card then it shall be presumed that the person is member of the Family and no further confirmation would be required.
 1. Srilankan refugees in the camps are also eligible without any Income limit.
  2. Migrants from other states can also join this CMCHIS based on the request letter along with a list of Eligible member’s from labour department, provided they have resided for more than six months in the state as certified by suitable authority.
  3. Orphans residing in any registered/unregistered organization can be given a singlecard. This also includes the rescued girlchildren and any other person defined as orphan by the government."	STATE		Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)	TAMIL NADU		
8		ALL	"You can avail 1,027 treatments and 38 diagnostic procedures by availing to this scheme.
Hospitals empanelled through this scheme will conduct free medical checkup at least once a month in every district.
Eligible Patient:
 The Eligibility to avail Chief Minister’s Comprehensive Health Insurance Scheme, is as indicated for the resident of tamilnadu by the presence of his/her name in the Family card and whose annual income is less than Rs.72, 000/ per annum.
Being eligible:
 Being eligible for benefits under the scheme, it is sufficient to produce family card and Incomecertificate by the VAO/Revenue authorities along with the selfdeclaration of the head of the concerned family."	"""Family” includes the eligible member, and the members of his or her Family as detailed below:
 (i) Legal spouse of the eligible person
 (ii) Children of the eligible person
(iii) Dependent parents of the eligible person Provided that if any person, in any of the categories at (i), (ii) or (iii) above, finds place in the family card then it shall be presumed that the person is member of the Family and no further confirmation would be required.
 1. Srilankan refugees in the camps are also eligible without any Income limit.
  2. Migrants from other states can also join this CMCHIS based on the request letter along with a list of Eligible member’s from labour department, provided they have resided for more than six months in the state as certified by suitable authority.
  3. Orphans residing in any registered/unregistered organization can be given a singlecard. This also includes the rescued girlchildren and any other person defined as orphan by the government."	STATE		Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)	TAMIL NADU		
