STATE	DISTRICT	HOSPITAL TYPE	CODE	HOSPITAL NAME	SPECIALITY	ADDRESSS	CONTACT NO	HOSPITAL IMAGE	AVAILABLE INSURANCE	SPECIFIC FOR 																
TAMIL NADU	CHENNAI	GOVT.		Tamil Nadu Government Multi Super Speciality Hospital	"1.This state-owned hospital has 400 beds, 14 state-of-the-art operation theatres, CT scan and MRI scans, Laboratories and 8 an attached medical college with eight departments it.                                                                                                                                                                                                                                                                                            2.  There are different departments such as anaesthesia, cardiology, neurology, radiology, vascular surgery, nephrology etc.                                                                                                                                                                                                                                                                                                3. This government hospital also provides timely and quality healthcare services to the masses.                                                                                                                                                                                                                                 4.  Well, if you need urgent and affordable healthcare service, then you need to try this government out."	"Omandurar Government Estate Opposite to The Hindu Office, Anna Salai, Chennai, Tamil Nadu 600002"	044 2566 6000	https://drive.google.com/file/d/1klEbwnJdKW2l8armvYn8U1meEFAc76Ki/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	2550	Southern Railway Headquarters Hospital	"1. Popularly known as Perambur Railway Hospital, it was originally intended for the railway employees.                                                                                                                                                                                                                                         2. At present, it also treats general patients. This hospital is basically known for treating HIV patients at affordable rates.                                                                                                                                                                                      3. The best part is that the medication is free of cost, but you will have to pay a minimal amount only for treatment"	"Constable Road, Hospital Rd Vasantha nagar, Perambur, Ayanavaram, Chennai, Tamil Nadu 600023"	044 2674 9024	https://drive.google.com/file/d/15qk7N49gGFDdd4wtLe9ZbDK1o2HroCrz/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	438	Stanley Medical College and Hospital	"1. Started by the British in 1740, this state-owned a run hospital treats about 5000 patients every day.                                                                                                                                                                                                                                                    2. It is known for Gastroenterology, Urology and Plastic surgery. This hospital ensures cleanliness as one of its main motives and is also known for organ transplantation.                                                                                                                                 3. Since time immemorial this government hospital has been drawing a lot of middle-class patients and if you ever want a hepatectomy done, you will have to pay a nominal fee of Rs 5000."	"No. 1, Old Jail Rd, George Town, Chennai, Tamil Nadu 600001"	 044 2528 2350	https://drive.google.com/file/d/1lEqtbN1s-WqcBn24DiUPKQuB2fJ9mL-q/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	462	Government Hospital of Thoracic Medicine	"1. This state-run hospital is the biggest HIV/AIDS centre in the country. Besides being a TB hospital initially, it became an AIDS centre due to TB patients suffering from HIV.                                                                                                 2. It offers free HIV screening and treatment including treatment for TB patients at affordable rates. If you are dealing with AIDS or TB you know where to go."	"77 Chennai - Theni Highway Sanatorium, Kadaperi, Chennai, Tamil Nadu 600047"	044 2241 8450	https://drive.google.com/file/d/1kf6gT5HW66fxwwgEDAL9NJkdDca7Zu1e/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	447	Government Royapettah Hospital	"1. This state-run hospital provides treatment for medical emergencies such as burns, accidents, general medicine etc.                                                                                                                                                                                              2.  It also offers free medication and healthcare services for the poor. It stands as one of the best government hospitals in the city.                                                                                                                                                                               3. Founded in 1911, this hospital was the first government-run cancer treatment centre in the state of Tamil Nadu."	"1, West Cott Road, Royapettah, Chennai, Tamil Nadu 600014"	044 2848 3051	https://drive.google.com/file/d/1wzfUIRokpEflIk25YKYawy4NUYJlzwIE/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.		Govt. Kasturba Gandhi Hospital for Women and Children	"1. Established in 1844, this hospital provides free maternity treatment for pregnant women. Currently, this hospital is known for providing excellent maternity treatment for pregnant.                                                                          2. At present, about 18000 deliveries happen here annually. Well, if you are an expecting mother, then you need to keep this hospital on your mind as they offer quality healthcare services."	" Victoria Hostel Road, Chepauk, Triplicane, Chennai, Tamil Nadu 600005"	044 2854 4901	https://drive.google.com/file/d/1RHLYY0cnnq6-RTd58wDsvzOazFuSWXeo/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	1475	Adyar Cancer Institute	"1. Founded in 1954, this is a non-profit organisation (NGO) that was given a top ranking by the World Health Organisation (WHO). It is known to be the cancer institute to receive a Cobalt-60 Therapy Unit for the treatment of cancer. It runs on an aim to provide free healthcare services for the backward sections of society and 63% of the patients who receive medical treatments in this NGO are from socially backward communities. It also provides affordable healthcare services for the betterment of other sections of society. Well, if you are suffering from cancer, then you need to try out the treatment provided here."	"W Canal Bank Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020"	044 2491 1526	https://drive.google.com/file/d/1Du4XawYl10LexcPYFynF_NcMsbAS_ZoY/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	GOVT.	428	Kilpauk Medical College Hospital	"1. This government hospital stands third in the line of TN government hospitals to have a fully-fledged emergency department that functions according to the Tamil Nadu Accident an  Emergency Care Initiative guidelines. If you ever drop into a medical emergency, there is no doubt that Kilpauk Medical College and hospital can come to your rescue."	"822, Poonamallee High Rd, near Ega Theatre, Kilpauk, Chennai, Tamil Nadu 600010"	044 2641 2979	https://drive.google.com/file/d/1EMndqgdsF8TPdf_JBa8whP0BnaWxv2S2/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	PRIVATE	1480	SRI RAMACHANDRA HOSPITAL	"1. Sri Ramachandra Hospital (SRH) is a tertiary care centre for imparting training and education to over 6000 students along with Research and nurturing excellence in patient care. This includes students from undergraduate and postgraduate medical courses, nursing, occupational therapy, clinical nutrition, allied health sciences, speech and hearing, physiotherapy, optometry, hospital and healthcare management and several other paramedical and allied health sciences..

2. This Hospital has more than 1600 beds and also has six fully equipped intensive care units, 23 state of the art operating theatres, 24/7 Pharmacy, Radiology, Dialysis, Laboratory Facilities, CSSD, medical transcription unit and several others.

3. More than 5000 out-patients were visiting SRH on a daily basis and around 200 to 250 patients were getting admitted for in-patients care.

4. Apart from the training given on campus, students are trained at the rural health training centre at Vayalanallur, the urban health training centre at Thiruvanmiyur. Five villages are adopted by SRH.

5. Since the year 2000, SRH is in association with Smile Train project, which is a non-profit organization providing corrective surgery for children with cleft lip and palate issues and recently we celebrated the completion of 12,000 cleft repair surgeries. SRH also addresses its social responsibilities by conducting various multi-speciality camps across the state, where free health check-ups are done by eminent and competent doctors and most of the drugs are given free of cost."	"Sri Ramachandra Institute of Higher Education and Research
(Deemed to be University),
No.1 Ramachandra Nagar Porur, Chennai - 600 116 Tamil Nadu, India."	 044 2476 8403-101	https://drive.google.com/file/d/1D7HTAbJs76q0FzFacohqLwps9XKJTuCU/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
TAMIL NADU	CHENNAI	PRIVATE	1533	The Madras Medical Mission  	"1. The Madras Medical Mission is an organization inspired by the missionary zeal of Bishop Zachariah Mar Dionysius, Metropolitan of the Madras Diocese of the Orthodox Church of India. Strengthened by the devotion and commitment of the members of this Community at Chennai (erstwhile Madras city of TamilNadu ) who promoted the registered charitable society in 1982, it strives to participate in the healing ministry by seeking to foster an environment of caring, compassion and love that enables it to respond to patient needs in enviable ways.

2. From modest beginnings two decades ago, the synergy of proficient practitioners, prudential management and providential guidance has metamorphosed this ISO 9001:2015 certified Madras Medical Mission into an organization of excellence that promotes some of the finest super-speciality tertiary care medical institutions in India , with superlative infrastructure, leading edge technology and accomplished professionals.                                        3. The Madras Medical Mission complex with 300 beds set amidst landscaped gardens that provide a serene and tranquil environment with modern hi-tech and sophisticated infrastructure, state-of-the-art technology, very high standards of cleanliness and hygiene for quaternary care has won accolades from the international community.

4. Dr.John Kineeshaw, Papworth Hospital , U.K. in awe states ""The magnificent modern new buildings here are obviously housing markedly great skill and importance in Chennai. Your operating rooms and intensive care areas are spacious and well equipped and are in many ways better than those in England. I hope the day will come when all may have access to such excellent facilities"".

5. The hospital is linked with other centres with their telemedicine network to enable sending and receiving digital images, ensuring connectivity with leading institutions for second opinion/referral services."	"The Madras Medical Mission Hospital
4-A, Dr, Mogappair, Chennai, Tamil Nadu 600037"	 044 6673 8000	https://drive.google.com/file/d/10FRvtwflRWPB-BCafcPbdEEzxA0DycRO/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Dr. Muthulakshmi Reddy Maternity Benefit Scheme	"FOR CARDIOLOGY & CARDIOTHORACIC SURGERIES ONLY
"																
TAMIL NADU	VELLORE	GOVT.	859	Government Vellore Medical College & Hospital	"Vellore Medical college situated in the historical fort city vellore. The seed was sown in 1882 as a small municipal dispensary at Arcot road of Vellore town.23 years later it was transferred to the new building at the heart of the town. In 1915,it was inaugurated by the governor of madras LORD PENTLAND. Henceforth it came to be known as PENTLAND hospital and functioned as one of the major head quarters hospital in the state."	" Arni Road, Adukkamparai, Vellore - 632011, Near Bagayam ."	0416 226 0900	https://drive.google.com/file/d/1RpsFs-29HrlgA4tfqxUIHv2sUVbV0ZDM/view?usp=sharing	 Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)        																	
TAMIL NADU	VELLORE	GOVT.		"Government Hospital, Tirupathur"	" Government Hospital Tirupattur was inaugurated on 14th September 1928 with 6 bedded hospital
Over the course of nearly a hundred years, the standard has improved and has now become a Government Headquarters Hospital of Tirupattur district with 250 beds as on January 2020."	"GH Rd, Achamangalam, Tirupattur, Tamil Nadu 635601"	04179-220080	https://drive.google.com/file/d/1ONsmfLs89hnNE11BiPmm6CKZGjxG76fv/view?usp=sharing																		
TAMIL NADU	VELLORE	PRIVATE	1714	Sri Narayani Hospital And Research Centre	The institute is actively organizing numerous community outreach programs in our adopted villages in and around vellore. We are in the process of setting up the super specialities of cardiothoracic Surgery and Oncology.	"Sri Narayani Hospital & Research Centre
Thirumalaikodi, Vellore – 632 055.
Tamilnadu, India.
"	"Mobile : +91 99524 16821
Phone : +91 416 2206300 /2206301 / 2206302
Email : info@snhrc.org"	https://drive.google.com/file/d/17Y147T5Rx-1FCwJr7u-fKEsiIVHCYU2m/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Ayushman Card or Pradhan Mantri Jan Arogya Yojana (PMJAY)            																	
TAMIL NADU	VELLORE	PRIVATE		Christian Medical Hospital 	"Strong ethical standards – CMC is not for profit, the doctors are employed full time, they have no other practices and receive a fixed salary with no incentive for unnecessary procedures or tests.                                                                                                                                                                                                                                                                        This government hospital also provides timely and quality healthcare services to the masses.                                                                                                                                                                                                                                                                                                                                The Christian Medical College Vellore (CMC) is a large multi-speciality teaching hospital located in Tamil Nadu, India,
                                                                                                                                                                                                                       "	"Christian Medical College
Ida Scudder Road,
Vellore - 632004
Tamil Nadu, India"	91-41-62288000 / 41-62282004	https://drive.google.com/file/d/1rBD2bK04CyStzBEn-8Bihno_dvpPyWiD/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Ayushman Card or Pradhan Mantri Jan Arogya Yojana (PMJAY)            																	
TAMIL NADU	VELLORE	PRIVATE	1808	Manisundaram Medical Mission	Our hospital is one of the eminent centres for Orthopedics Trauma Care which strives hard to give a good care hospitality to its true sense.	"Manisundaram Medical Mission, No 288 Phase - 1, Near More Supermarket, South Avenue Road Vallalar, Vellore, Tamil Nadu,"	91 9942230008	https://drive.google.com/file/d/1yxXCsX5Yy1_EqdBl1Ni86z5e5-CrP7oH/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Ayushman Card or Pradhan Mantri Jan Arogya Yojana (PMJAY)            																	
TAMIL NADU	VELLORE	PRIVATE		DR.AGARWAL EYE HOSPITAL	"In the 1950s, an eye doctor couple from a medical college in Jaipur happened to visit their parents in an ashram in Pondicherry in Southern India.
While crossing the metropolitan city of Madras with about a hundred rupees in their pockets, they were enmoured by the city’s grace and decided to make it their home."	"Dr. Agarwals Eye Hospital, No.18, Officer's Line, Vellore - 632001. (Landmark: Opp. Voorhees College)"	9444366550	https://drive.google.com/file/d/1kbXfEA9CP1_Nx6nGF4N3iZBwOviEDVOI/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Ayushman Card or Pradhan Mantri Jan Arogya Yojana (PMJAY)            																	
TAMIL NADU	VELLORE	PRIVATE		TANKER FOUNDATION DIALYSIS UNIT	"We have also taken the initiative to introduce a dedicated dialysis unit for HIV positive patients, the first of its kind in India. This is at the Ambattur Rotary Hospital Unit and has two machines. Exclusive dialysis machines are also available for HCV positive patients."	"Suraj Devi Dharmichand Vellore Fort, S/F 516 Sixth Main Road Phase II Sathuvachari, Vellore"	9994493965	https://drive.google.com/file/d/1JlOyinMFvf55Zu2OG9SLs9xWpV7S8vhk/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Ayushman Card or Pradhan Mantri Jan Arogya Yojana (PMJAY)            																	
TAMIL NADU	VELLORE	PRIVATE		Apollo K H Hospital	"Apollo KH Hospital, Ranipet was established on the 14th of September, 2003. It is an association between Apollo Hospitals Enterprise Limited and the KH Group. The Hospital campus is spread across 10 acres of land in the Vellore district of Tamil Nadu.
The 100-bed multi-speciality hospital was founded with the objective of rural upliftment and development of community health. The hospital reserves a special focus for healthcare for women and children."	"Ranipet to Vellore ByPass  Road, Melvisharam Vellore, Vellore - 632509, "	 04172 269 581	https://drive.google.com/file/d/1mnO0nOU8zF3q_36ncy5U8jX1JQwPKGva/view?usp=sharing	"Aditya Birla Health Insurance
Policy Kit - Apollo Munich Health Insurance
www.apollomunichinsurance.com › groupinsurance

"																	
TAMIL NADU	ERODE	GOVT.	824	"Govt.Head Quarters Hospital,Erode TN."		"EVN Road, Erode, Tamil Nadu 638009"	 0424 225 3676	https://drive.google.com/file/d/1u2r1X1dx5T4Nkr9tTd_2EDGy4IB5IqZY/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.	425	"Govt. Hospital Gobichettipalayam, Erode TN."		"Erode, Tamil Nadu 638452
Govt Hospital Road,Gobichettipalayam-638452"	04285-222053	https://drive.google.com/file/d/1jUgeBbMAbGAg-dYb2ZVzT3gIScQQ6vlY/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.	873	"Govt Hospital Bhavani, Erode TN."		"Government Hospital Bhavani, Bhavani -638301
Government Hospital Bhavani,  Bhavani -638301"	0424 226 6700	https://drive.google.com/file/d/1xbuKf6BcGvM_n4gCDorFEbjn9ZXDlpo3/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.		"Govt. Hospital,Anthiyur, Erode TN."		" SH 175, Anthiyur, Tamil Nadu 638501"	04256 261 350	https://drive.google.com/file/d/1r6XoHhMcKue1Ku57qZvIJXrUUTdbykTI/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.	1193	"Govt. Hospital,Sathyamangalam, Erode TN."		"NH948, Sathyamangalam, Tamil Nadu 638401"	04295-220239	https://drive.google.com/file/d/1tf7xkxvKehgpM1L-xoEqq9_lflYZPAiY/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.	1194	"Govt. Hospital,Perundurai, Erode TN."		"Perundurai, Tamil Nadu 638052"	-	https://drive.google.com/file/d/1BwqmEyYNJnW96o7xXLphqT7pvyFn68Pq/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
TAMIL NADU	ERODE	GOVT.	1242	"Govt. IRT Perundurai Medical College, Erode TN."		"Kunnathur Rd - Perundurai, Perundurai, Tamil Nadu 638053"	04294 220 913	https://drive.google.com/file/d/1WCSLpKWQnUjNcrU04AoCWQA4ToSnBRlN/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2).  Non Communicable Diseases Control Programme                                                                                                                                                                                                                                                                                                                       3).  Pradhan Mantri Ayushman Bharat Yojana																	
