,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
3,24 ,"Govt.Head Qrtrs Hosp Paramakudi,Ramanathpuram TN.",                                      Public                                    ,"                  Ramanathapuram,         RAMANATHAPURAM,         TAMIL NADU                           ",dmoghparamakudi@gmail.com,9443203477,                                              -NA-                                                                                             ,                               NA                                                 
4,25 ,"Govt.Head Quarters Hospital Mettur Dam,Salem TN.",                                      Public                                    ,"                  Mettur DamSalem,         SALEM,         TAMIL NADU                           ",selvaaraj62@gmail.com,9443203477,                                              -NA-                                                                                             ,                               NA                                                 
5,26 ,"Govt. Hospital Karaikudi,Sivagangai TN.",                                      Public                                    ,"                  Sivagangai,         SIVAGANGA,         TAMIL NADU                           ",jdhs.sivaganga@rediffmail.com,9751299554,                                              -NA-                                                                                             ,                               NA                                                 
6,27 ,"Govt.Head Quarters Hosp Kumbakonam,Thanjavur TN.",                                      Public                                    ,"                  Thanjavur,         THANJAVUR,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9500363446,                                              -NA-                                                                                             ,                               NA                                                 
7,28 ,"Dist. Govt. Head Qrtrs Hosp Tenkasi,Tiruneveli TN.",                                      Public                                    ,"                  Tirunelveli,         TIRUNELVELI,         TAMIL NADU                           ",jdhs.tirunelveli@rediffmail.com,9442023700,                                              -NA-                                                                                             ,                               NA                                                 
8,29 ,"Govt.Head Qrtrs Hosp,Tiruvannamalai TN.",                                      Public                                    ,"                  Tiruvannamalai,         TIRUVANNAMALAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9443205063,                                              -NA-                                                                                             ,                               NA                                                 
9,30 ,"Govt.Head Qrtrs Hosp Mannargudi,Tiruvarur TN.",                                      Public                                    ,"                  Tiruvarur,         THIRUVARUR,         TAMIL NADU                           ",gh.mannargudi@gmail.com,9942885300,                                              -NA-                                                                                             ,                               NA                                                 
0,31 ,"Govt. Head Qrtrs Hosp Manaparai,Trichy TN.",                                      Public                                    ,"                  Tiruchirappalli,         TIRUCHIRAPPALLI,         TAMIL NADU                           ",jdhs.trichy@rediffmail.com,9787153045,                                              -NA-                                                                                             ,                               NA                                                 
1,32 ,"Govt Mohan Kumaramangalam Med College, Salem TN.",                                      Public                                    ,"                  Salem,         SALEM,         TAMIL NADU                           ",deansalemhospital@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
2,33 ,"K.A.P.Viswanathan Govt. Medical College,Trichy TN.",                                      Public                                    ,"                  Tiruchirappalli,         TIRUCHIRAPPALLI,         TAMIL NADU                           ",thulasi_j@yahoo.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
3,34 ,"Coimbatore Govt Medical College,Coimbatore TN.",                                      Public                                    ,"                  Coimbatore,         COIMBATORE,         TAMIL NADU                           ",deancmchcbe@yahoo.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
4,35 ,"Govt. Head Quarters Hospital,Tiruvallur TN.",                                      Public                                    ,"                  Thiruvallur,         THIRUVALLUR,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,22222222222,                                              -NA-                                                                                             ,                               NA                                                 
5,36 ,"Govt. Head Qrtrs Hosp Periyakullam,Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",jdhs.theni@rediffmail.com,11111111111,                                              -NA-                                                                                             ,                               NA                                                 
6,37 ,"Govt. Hospital Gobichettipalayam, Erode TN.",                                      Public                                    ,"                  Erode,         ERODE,         TAMIL NADU                           ",gobigh@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
7,38 ,"Govt. Hospital Hosur, Krishnagiri TN.",                                      Public                                    ,"                  Krishnagiri,         KRISHNAGIRI,         TAMIL NADU                           ",dr.ponnuraj@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
8,39 ,"Govt. Dharmapuri Medical College,Dharmapuri TN.",                                      Public                                    ,"                  Dharmapuri,         DHARMAPURI,         TAMIL NADU                           ",gdmchdpi@gmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
9,40 ,"Govt.Kilpauk Medical CollegeHospitalChennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
0,41 ,"Govt. Medical College Hospital,Vellore TN.",                                      Public                                    ,"                  Vellore,         VELLORE,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
1,42 ,"Govt.Head Quarters Hospital,wallajah.TN.",                                      Public                                    ,"                  Vellore,         VELLORE,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,43 ,"Toothukudi Medical College,Tuticorin TN.",                                      Public                                    ,"                  Thoothukudi,         TUTICORIN,         TAMIL NADU                           ",deantut@tn.gov.in,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
3,44 ,"Theni Govt. Medical College and Hospital,Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",deangtmc@gmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
4,45 ,"Tiruvarur Medical College,Tiruvarur TN.",                                      Public                                    ,"                  Tiruvarur,         THIRUVARUR,         TAMIL NADU                           ",pawanks@healthsprint.net,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
5,46 ,"Govt. Head Quarters Hospital,Kanyakumari TN.",                                      Public                                    ,"                  Kanyakumari,         KANNIYAKUMARI,         TAMIL NADU                           ",ghpadmanabapuram.insurance@gmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
6,47 ,"Kanyakumari Medical College Hosp, Kanyakumari TN.",                                      Public                                    ,"                  Kanyakumari,         KANNIYAKUMARI,         TAMIL NADU                           ",gskgmch@gmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
7,48 ,"Govt. Rajaji Hospital,Madurai TN.",                                      Public                                    ,"                  Madurai,         MADURAI,         TAMIL NADU                           ",grh_mdu@rediffmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
8,49 ,"Tirunelveli Medical College Hosp,Tirunelveli TN.",                                      Public                                    ,"                  Tirunelveli,         TIRUNELVELI,         TAMIL NADU                           ",ms@tvmc.ac.in,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
9,50 ,"Govt. Stanley Medical College Hospital,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
0,51 ,"Madras Medical College,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
1,52 ,"Chengalpattu Medical College,Kancheepuram TN.",                                      Public                                    ,"                  Kancheepuram,         KANCHIPURAM,         TAMIL NADU                           ",pawanks@healthsprint.net,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,53 ,"Thanjavur Medical College Hospital,Thanjavur TN.",                                      Public                                    ,"                  Thanjavur,         THANJAVUR,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
3,54 ,"Govt Opthomology Hospital,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
4,55 ,"ICH,Egmore,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
5,56 ,"IOG,Egmore,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",pawanks@healthsprint.net,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
6,57 ,"Government Peripheral Hosp,Tondiarpet,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
7,58 ,"Govt. Peripheral Hospital,Anna Nagar,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
8,59 ,"Govt. Royapettah Hospital, Royapetta,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",pawanks@healthsprint.net,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
9,60 ,"RSRM,Tondiarpet, Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
0,61 ,"KGH,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
1,62 ,"Govt. Hospital Srirangam,Trichy TN.",                                      Public                                    ,"                  Tiruchirappalli,         TIRUCHIRAPPALLI,         TAMIL NADU                           ",srirangamgh@gmail.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,63 ,"Govt.of Villupuram Med Coll and Hsp,Villupuram TN.",                                      Public                                    ,"                  Viluppuram,         VILLUPURAM,         TAMIL NADU                           ",pawanks@healthsprint.net,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
3,64 ,"MMC Cardiology Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
4,65 ,"MMC Cardiothoracic,Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
5,66 ,"MMC Surgical Oncology, Chennai.TN",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
6,67 ,"MMC Medical Oncology, Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
7,68 ,"MMC Radiation.Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
8,69 ,"MMC Surgical gastroenterolgy,Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
9,70 ,"MMC Endocrine surgery,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               -NA-                                                 
0,71 ,"MMC ENT,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
1,72 ,"MMC Urology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,73 ,"MMC Derimatology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
3,74 ,"MMC Thoracic medicine,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
4,75 ,"MMC Plastic surgery,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
5,76 ,"MMC Ortho,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888888,                                              -NA-                                                                                             ,                               NA                                                 
6,77 ,"MMC Neurology,Chennai,TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
7,78 ,"MMC Neuro Surgery, Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
8,79 ,"MMC Nephrology, Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
9,80 ,"MMC Hepatology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
0,81 ,"mmc Vascular Surgery, Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
1,82 ,"MMC General Medicine,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,88888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,83 ,"MMC General Surgery,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
3,84 ,"MMC Rheumatology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
4,85 ,"MMC Endocrinology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
5,86 ,"MMC Haematology,Chennai TN.",                                      Public                                    ,"                  Chennai,         CHENNAI,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
6,87 ,"Toothukudi. MC. Gastroenterology, Tuticorin TN.",                                      Public                                    ,"                  Thoothukudi,         TUTICORIN,         TAMIL NADU                           ",ramlalli90@yahoo.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
7,88 ,"Toothukudi. MC. Surgery, Tuticorin TN.",                                      Public                                    ,"                  Thoothukudi,         TUTICORIN,         TAMIL NADU                           ",msmanohardr@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
8,89 ,"Toothukudi. MC. Ortho, Tuticorin TN.",                                      Public                                    ,"                  Thoothukudi,         TUTICORIN,         TAMIL NADU                           ",orthoarun_maran@yahoo.co.in,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
9,90 ,"Theni Govt. MC. Dermatology, Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",akpviyakumar@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
0,91 ,"Theni Govt. MC. Orthopaedic, Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",prhospital@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
1,92 ,"Theni Govt. MC. ENT, Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",dinaent@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
2,93 ,"Theni Govt. MC. Medicine, Theni TN.",                                      Public                                    ,"                  Theni,         THENI,         TAMIL NADU                           ",soundarajanngl@gmail.com,1111111111,                                              -NA-                                                                                             ,                               NA                                                 
